tid,attribute,correct_val
0,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery
3,City,birmingham
7,City,birmingham
10,City,sheffield
13,ProviderNumber,10019
16,HospitalType,acute care hospitals
17,Sample,37 patients
21,Condition,heart attack
22,HospitalOwner,government - hospital district or authority
22,Condition,heart attack
24,PhoneNumber,3347938701
24,EmergencyService,yes
26,HospitalName,southeast alabama medical center
27,HospitalOwner,government - hospital district or authority
31,HospitalOwner,government - hospital district or authority
36,PhoneNumber,3347938701
39,HospitalType,acute care hospitals
42,State,al
42,HospitalOwner,government - hospital district or authority
43,EmergencyService,yes
44,ZipCode,35957
45,ProviderNumber,10005
46,State,al
50,State,al
51,EmergencyService,yes
56,City,boaz
56,Stateavg,al_pn-3b
57,Address1,2505 u s highway 431 north
57,PhoneNumber,2565938310
60,PhoneNumber,2565938310
63,ZipCode,35957
65,PhoneNumber,2565938310
67,CountyName,marshall
69,Stateavg,al_ami-1
70,ZipCode,35631
72,CountyName,lauderdale
73,Condition,heart attack
77,CountyName,lauderdale
79,City,florence
81,ProviderNumber,10006
83,State,al
88,City,florence
91,Sample,619 patients
93,City,florence
93,ZipCode,35631
94,Address1,702 n main st
94,MeasureName,heart attack patients given aspirin at arrival
97,MeasureCode,ami-4
98,State,al
98,HospitalType,acute care hospitals
101,PhoneNumber,3344933541
101,MeasureCode,hf-1
106,Address1,702 n main st
108,MeasureCode,pn-5c
111,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery
113,HospitalOwner,voluntary non-profit - private
115,Sample,0 patients
119,State,al
119,MeasureName,heart attack patients given aspirin at arrival
120,MeasureCode,ami-2
120,Score,100%
127,Condition,heart failure
131,HospitalName,crenshaw community hospital
133,Sample,21 patients
136,CountyName,crenshaw
137,ZipCode,36049
139,ZipCode,36049
140,State,al
145,MeasureName,heart attack patients given aspirin at discharge
149,ZipCode,35640
157,ZipCode,35640
157,HospitalOwner,proprietary
157,EmergencyService,yes
158,Score,98%
159,HospitalOwner,proprietary
161,Address1,201 pine street northwest
162,HospitalOwner,proprietary
163,Score,57%
164,HospitalOwner,proprietary
165,State,al
166,Sample,11 patients
170,Sample,6 patients
