fk1,fk2,v1,id
0,0,MC42NTY5MjQ2NTEzMzYwNDky,0
1,1,MC44NDY0NDQ3ODAxOTM2OTIy,1
2,2,MC45MDUzODAwNzA3MTA0ODk2,2
3,3,MC42NzM4Mjc3MTYzNjgzODE1,3
4,4,MC4wNzMyOTgwODIwOTQzMzA2NA==,4
5,5,MC4yMDgyNjE3MTAwNzI5MDA5NQ==,5
6,6,MC4xMDQ5NjA1MDY4NTgxMjU1Mg==,6
7,0,MC42NzU3MjM4ODAxNDU1NzQ0,7
8,1,MC4yNjE3NTAxNTM0NzE4MzY1,8
9,2,MC4yNTI0MTk0MjI2MTMwOTMzNg==,9
10,3,MC4wMzIwNzA3OTM1NzkyNzk=,10
0,4,MC4zNTkzODE3OTY3NzE2NTE4Mw==,11
1,5,MC43NTQzNTMxOTM2OTkzODkx,12
2,6,MC42OTM4NjUxNTgzODUxOTc1,13
3,0,MC40MDUzNzk2ODU5Mzg2NjY3,14
4,1,MC41MDI0ODcwMTE1NTA1NDk=,15
5,2,MC40NDMyNTc5MTgzNjAyNTY0,16
6,3,MC4zMDc0NDAzMjg0MTI4OTIwNA==,17
7,4,MC45MDgyODA1NzI3Mzg2Njc4,18
8,5,MC4yMTg0MTc4MTQ0MzUwNTMyNg==,19
9,6,MC4yODAwMzM5NDkxODQ5MTU0,20
10,0,MC41ODYzNzk0NDg2MjQ3MTA3,21
0,1,MC40MjE0MzIyMzA0OTc1MTIy,22
1,2,MC44ODA1OTE5NTQ4MzEyNzU=,23
2,3,MC45ODU1NDYzOTEzNzYxNzcx,24
3,4,MC4wNDIyODExOTExODA0MzA1,25
4,5,MC41MDIxNTkwNDU4NzgzNDg5,26
5,6,MC41Mjk1MDQ2NTkyMzg1Njc0,27
6,0,MC41NjYxNjA0ODA0MTg2NTE0,28
7,1,MC4zNzkxNzA3MDcxNzQxNTkzNQ==,29
8,2,MC4wMzIxNTA1MTczMDI1NjkwMTU=,30
9,3,MC4yOTY0MTc5NjU0NjE3NTE3,31
10,4,MC44MzQ1Njg3MDMwODM5NDk0,32
0,5,MC42MTg2MjA0ODI4MTEzOTQ5,33
1,6,MC44MjkyMDQ5OTA5NDA4OTQ2,34
2,0,MC43NTYwNzI5Mzg5ODU3MDA2,35
3,1,MC4wMDk3MzU4NTMyMjU1NDc1OTc=,36
4,2,MC43MDg4MTA4MTkwODU0MTUx,37
5,3,MC4xMzE0MTU4MTAyNzM2NDc4,38
6,4,MC45NjQ0ODI3ODExNjU5Njk0,39
7,5,MC44NzkyMjIxOTM3OTQ4ODE1,40
8,6,MC44NTE1MjQ3NzkyNzMxNjY2,41
9,0,MC42MjIxMTYyMDgwODIwMzUy,42
10,1,MC43NTcwOTc1MDQwMDc2MTM3,43
0,2,MC44ODcyMjUyODM1NjEwNDI4,44
1,3,MC45NTkyMDA0Nzg5NTE4NTM=,45
2,4,MC43NTU2NTY2MzYwMTc5ODQ2,46
3,5,MC43NzA5MDYyODUzNzQ1ODYy,47
4,6,MC42MzUwMjI1MjYzMDIwNDg0,48
5,0,MC42NTQ0NDEyMDcxMDkwMzE2,49
6,1,MC42Mjg2NzYzOTYzOTUxMDA5,50
7,2,MC4yMjk5NDI2NjEzMjk3ODYzNg==,51
8,3,MC4wMjMzNjAzOTIzMDkzOTU5MDU=,52
9,4,MC42MDUyNjE2OTk3ODgxNTM0,53
10,5,MC41Nzk0ODE3MjU4MTI4MjYy,54
0,6,MC43ODg0NzUxMjM4NTQ1OTg2,55
1,0,MC4zNTg0NDgwMzYyNDY0NjgwNA==,56
2,1,MC41MDE4MTExOTU2NjU0MjM=,57
3,2,MC42NDQwNzczOTQ4NDY0NTIy,58
4,3,MC4xMjkwOTY5NjUyMTcxODQ5NA==,59
5,4,MC4yNTA4NzkzNjc1OTk5ODMz,60
6,5,MC45Mzk1MTc4OTQ0MTEyODk3,61
7,6,MC4zMDcwNTc2ODI5ODE3MTU2NQ==,62
8,0,MC43MDkxMTg5MzcxNTMzNDgz,63
9,1,MC4yMTg4MDg3MjMyMTE4Njc5NQ==,64
10,2,MC41MTYyNDYwMjQ3NjY4NDUz,65
0,3,MC4xMTIxMTY2MzI4ODIyODY1Nw==,66
1,4,MC42NDI1NTc1NzcxNTM3MDk4,67
2,5,MC4zNDUxOTc2NTk5MjM5Njg1Ng==,68
3,6,MC4yNTUyNDYzNTgwMjk0MjMz,69
4,0,MC41MzA5NzQ5NTk5MTk2OTgz,70
5,1,MC44ODU1MTY1NjkxMjUxMTYz,71
6,2,MC44MzkwOTc3ODI5NjEzNzgy,72
7,3,MC45NjQyOTAyMDM5OTcxMTE0,73
8,4,MC43Njc4MjE2NjQwOTk5NzU5,74
9,5,MC4xMzEzNDY3OTA0ODY1MDUzMw==,75
10,6,MC45NzQ2NTA3NDU0Nzg2MzI1,76
0,0,MC4zMzM2MTA1ODQ2NDYzNjc1,77
1,1,MC4xNTE5OTExMDU5NjM4NzkyMQ==,78
2,2,MC43NjA3NzQ1MzM4NzQ5NTk1,79
3,3,MC45MzEzMzk2MjQ4MDQ0NjM2,80
4,4,MC45NjgyNTYyNDQzODQzMjY3,81
5,5,MC43MjIxODI2NzU2MDAxODg4,82
6,6,MC4xNDUwNjU5OTc2ODI3MTg3Nw==,83
7,0,MC40NjczNjYwMDY2MTQ0MjI4NQ==,84
8,1,MC44NjYyNzg5MTc4NTAzOQ==,85
9,2,MC4wODE4MjYyMTExMjc3MzQ3,86
10,3,MC44ODk5NDI2OTcyMDM4NTcz,87
0,4,MC43NTY5NDkyNTA2NzExMDEz,88
1,5,MC41OTY5MjgzNTcwMDE1OTQ=,89
2,6,MC41ODQxMzc5NDg5MjA0OTE1,90
3,0,MC4yODgzMDEwOTk5MTcyMjA1,91
4,1,MC41ODQ3NTUzNjc4OTcxNDMx,92
5,2,MC44ODEyOTc5NDY2MDIzMDc5,93
6,3,MC41Nzk0NjA4Nzg0OTUwOTI=,94
7,4,MC4yMDIyMjg1NjI4NDcxODQ2,95
8,5,MC43ODI2MzE2MTg3NTUxNjg1,96
