tid,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
0,10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery,,,al_scip-card-2
1,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,surgicalinfectionprevention,scip-inf-1,surgerypatientswhoweregivenanantibioticattherighttime(withinonehourbeforesurgery)tohelppreventinfection,,,al_scip-inf-1
2,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,surgicalinfectionprevention,scip-inf-2,surgerypatientswhoweregiventherightkindofantibiotictohelppreventinfection,,,al_scip-inf-2
3,10018,callahaneyefoundationhospital,1720universityblvd,,,birminghxm,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,surgicalinfectionprevention,scip-inf-3,surgerypatientswhosepreventiveantibioticswerestoppedattherighttime(within24hoursaftersurgery),,,al_scip-inf-3
4,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,surgicalinfectionprevention,scip-inf-4,allheartsurgerypatientswhosebloodsugar(bloodglucose)iskeptundergoodcontrolinthedaysrightaftersurgery,,,al_scip-inf-4
5,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,surgicalinfectionprevention,scip-inf-6,surgerypatientsneedinghairremovedfromthesurgicalareabeforesurgerywhohadhairremovedusingasafermethod(electricclippersorhairremovalcreamcnotarazor),,,al_scip-inf-6
6,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,surgicalinfectionprevention,scip-vte-1,surgerypatientswhosedoctorsorderedtreatmentstopreventbloodclotsaftercertaintypesofsurgeries,,,al_scip-vte-1
7,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingxam,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,surgicalinfectionprevention,scip-vte-2,patientswhogottreatmentattherighttime(within24hoursbeforeoraftertheirsurgery)tohelppreventbloodclotsaftercertaintypesofsurgery,,,al_scip-vte-2
8,10019,helenkellermemorialhospital,1300southmontgomeryavenue,,,sheffield,al,35660,jefferson,2563864556,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartattack,ami-1,heartattackpatientsgivenaspirinatarrival,97%,33patients,al_ami-1
9,10019,helenkellermemorialhospital,1300southmontgomeryavenue,,,sheffield,al,35660,jefferson,2563864556,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartattack,ami-2,heartattackpatientsgivenaspirinatdischarge,92%,13patients,al_ami-2
10,10019,helenkellermemorialhospital,1300southmontgomeryavenue,,,sheffxeld,al,35660,jefferson,2563864556,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartattack,ami-3,heartattackpatientsgivenaceinhibitororarbforleftventricularsystolicdysfunction(lvsd),75%,4patients,al_ami-3
11,10019,helenkellermemorialhospital,1300southmontgomeryavenue,,,sheffield,al,35660,jefferson,2563864556,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartattack,ami-4,heartattackpatientsgivensmokingcessationadvice/counseling,100%,4patients,al_ami-4
12,10019,helenkellermemorialhospital,1300southmontgomeryavenue,,,sheffield,al,35660,jefferson,2563864556,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartattack,ami-5,heartattackpatientsgivenbetablockeratdischarge,86%,14patients,al_ami-5
13,1xx19,helenkellermemorialhospital,1300southmontgomeryavenue,,,sheffield,al,35660,jefferson,2563864556,acutecarehospitals,government-hospitaldistrictorauthority,yes,heartattack,ami-7a,heartattackpatientsgivenfibrinolyticmedicationwithin30minutesofarrival,,0patients,al_ami-7a
