tid,attribute,correct_val
0,sepal_length,5.1
0,sepal_width,3.5
0,petal_length,1.4
0,petal_width,0.2
1,sepal_length,4.9
1,sepal_width,3.0
1,petal_length,1.4
1,petal_width,0.2
2,sepal_length,4.7
2,sepal_width,3.2
2,petal_length,1.3
2,petal_width,0.2
3,sepal_length,4.6
3,sepal_width,3.1
3,petal_length,1.5
3,petal_width,0.2
4,sepal_length,5.0
4,sepal_width,3.6
4,petal_length,1.4
4,petal_width,0.2
5,sepal_length,5.4
5,sepal_width,3.9
5,petal_length,1.7
5,petal_width,0.4
6,sepal_length,4.6
6,sepal_width,3.4
6,petal_length,1.4
6,petal_width,0.3
7,sepal_length,5.0
7,sepal_width,3.4
7,petal_length,1.5
7,petal_width,0.2
8,sepal_length,4.4
8,sepal_width,2.9
8,petal_length,1.4
8,petal_width,0.2
9,sepal_length,4.9
9,sepal_width,3.1
9,petal_length,1.5
9,petal_width,0.1
10,sepal_length,5.4
10,sepal_width,3.7
10,petal_length,1.5
10,petal_width,0.2
11,sepal_length,4.8
11,sepal_width,3.4
11,petal_length,1.6
11,petal_width,0.2
12,sepal_length,4.8
12,sepal_width,3.0
12,petal_length,1.4
12,petal_width,0.1
13,sepal_length,4.3
13,sepal_width,3.0
13,petal_length,1.1
13,petal_width,0.1
14,sepal_length,5.8
14,sepal_width,4.0
14,petal_length,1.2
14,petal_width,0.2
15,sepal_length,5.7
15,sepal_width,4.4
15,petal_length,1.5
15,petal_width,0.4
16,sepal_length,5.4
16,sepal_width,3.9
16,petal_length,1.3
16,petal_width,0.4
17,sepal_length,5.1
17,sepal_width,3.5
17,petal_length,1.4
17,petal_width,0.3
18,sepal_length,5.7
18,sepal_width,3.8
18,petal_length,1.7
18,petal_width,0.3
19,sepal_length,5.1
19,sepal_width,3.8
19,petal_length,1.5
19,petal_width,0.3
20,sepal_length,5.4
20,sepal_width,3.4
20,petal_length,1.7
20,petal_width,0.2
21,sepal_length,5.1
21,sepal_width,3.7
21,petal_length,1.5
21,petal_width,0.4
22,sepal_length,4.6
22,sepal_width,3.6
22,petal_length,1.0
22,petal_width,0.2
23,sepal_length,5.1
23,sepal_width,3.3
23,petal_length,1.7
23,petal_width,0.5
24,sepal_length,4.8
24,sepal_width,3.4
24,petal_length,1.9
24,petal_width,0.2
25,sepal_length,5.0
25,sepal_width,3.0
25,petal_length,1.6
25,petal_width,0.2
26,sepal_length,5.0
26,sepal_width,3.4
26,petal_length,1.6
26,petal_width,0.4
27,sepal_length,5.2
27,sepal_width,3.5
27,petal_length,1.5
27,petal_width,0.2
28,sepal_length,5.2
28,sepal_width,3.4
28,petal_length,1.4
28,petal_width,0.2
29,sepal_length,4.7
29,sepal_width,3.2
29,petal_length,1.6
29,petal_width,0.2
30,sepal_length,4.8
30,sepal_width,3.1
30,petal_length,1.6
30,petal_width,0.2
31,sepal_length,5.4
31,sepal_width,3.4
31,petal_length,1.5
31,petal_width,0.4
32,sepal_length,5.2
32,sepal_width,4.1
32,petal_length,1.5
32,petal_width,0.1
33,sepal_length,5.5
33,sepal_width,4.2
33,petal_length,1.4
33,petal_width,0.2
34,sepal_length,4.9
34,sepal_width,3.1
34,petal_length,1.5
34,petal_width,0.2
35,sepal_length,5.0
35,sepal_width,3.2
35,petal_length,1.2
35,petal_width,0.2
36,sepal_length,5.5
36,sepal_width,3.5
36,petal_length,1.3
36,petal_width,0.2
37,sepal_length,4.9
37,sepal_width,3.6
37,petal_length,1.4
37,petal_width,0.1
38,sepal_length,4.4
38,sepal_width,3.0
38,petal_length,1.3
38,petal_width,0.2
39,sepal_length,5.1
39,sepal_width,3.4
39,petal_length,1.5
39,petal_width,0.2
40,sepal_length,5.0
40,sepal_width,3.5
40,petal_length,1.3
40,petal_width,0.3
