index,attribute,correct_val
1,id,1436
1,beer-name,Pub Beer
1,style,American Pale Lager
1,ounces,12
1,abv,0.05
1,ibu,""
1,brewery_id,408
1,brewery-name,10 Barrel Brewing Company
1,city,Bend
1,state,OR
2,id,2265
2,beer-name,Devil's Cup
2,style,American Pale Ale (APA)
2,ounces,12
2,abv,0.066
2,ibu,""
2,brewery_id,177
2,brewery-name,18th Street Brewery
2,city,Gary
2,state,IN
3,id,2264
3,beer-name,Rise of the Phoenix
3,style,American IPA
3,ounces,12
3,abv,0.071
3,ibu,""
3,brewery_id,177
3,brewery-name,18th Street Brewery
3,city,Gary
3,state,IN
4,id,2263
4,beer-name,Sinister
4,style,American Double / Imperial IPA
4,ounces,12
4,abv,0.09
4,ibu,""
4,brewery_id,177
4,brewery-name,18th Street Brewery
4,city,Gary
4,state,IN
5,id,2262
5,beer-name,Sex and Candy
5,style,American IPA
5,ounces,12
5,abv,0.075
5,ibu,""
5,brewery_id,177
5,brewery-name,18th Street Brewery
5,city,Gary
5,state,IN
6,id,2261
6,beer-name,Black Exodus
6,style,Oatmeal Stout
6,ounces,12
6,abv,0.077
6,ibu,""
6,brewery_id,177
6,brewery-name,18th Street Brewery
6,city,Gary
6,state,IN
7,id,2260
7,beer-name,Lake Street Express
7,style,American Pale Ale (APA)
7,ounces,12
7,abv,0.045
7,ibu,""
7,brewery_id,177
7,brewery-name,18th Street Brewery
7,city,Gary
7,state,IN
8,id,2259
8,beer-name,Foreman
8,style,American Porter
8,ounces,12
8,abv,0.065
8,ibu,""
8,brewery_id,177
8,brewery-name,18th Street Brewery
8,city,Gary
8,state,IN
9,id,2258
9,beer-name,Jade
9,style,American Pale Ale (APA)
9,ounces,12
9,abv,0.055
9,ibu,""
9,brewery_id,177
9,brewery-name,18th Street Brewery
9,city,Gary
9,state,IN
10,id,2131
10,beer-name,Cone Crusher
10,style,American Double / Imperial IPA
10,ounces,12
10,abv,0.086
10,ibu,""
10,brewery_id,177
10,brewery-name,18th Street Brewery
10,city,Gary
10,state,IN
11,id,2099
11,beer-name,Sophomoric Saison
11,style,Saison / Farmhouse Ale
11,ounces,12
11,abv,0.072
