id,attribute,correct_val
235295,article_title,Late repair of injuries of the anal sphincter
235295,article_language,eng
235295,journal_title,Proc R Soc Med
235295,jounral_abbreviation,Proceedings of the Royal Society of Medicine
235295,journal_issn,0035-9157 (Print) 0035-9157
235295,article_jvolumn,64
235295,article_jissue,12
235295,article_jcreated_at,1/1/71
235295,article_pagination,1187-9
235295,author_list,"\"{\"\"A. G. Parks\"\""
498345,article_title,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.
498345,article_language,ENG
498345,journal_title,The Journal of infectious diseases
498345,jounral_abbreviation,J. Infect. Dis.
498345,journal_issn,1537-6613
498345,article_jvolumn,-1
498345,article_jissue,-1
498345,article_jcreated_at,2/15/04
498345,article_pagination,""
498345,author_list,"\"{\"\"Valentina A Volchkova\"\""
789958,article_title,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.
789958,article_language,eng
789958,journal_title,Indian journal of ophthalmology
789958,jounral_abbreviation,Indian J Ophthalmol
789958,journal_issn,0301-4738
789958,article_jvolumn,54
789958,article_jissue,4
789958,article_jcreated_at,1/6/12
789958,article_pagination,283-4
789958,author_list,"\"{\"\"Jitendra Jethani\"\""
169865,article_title,"[Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]"
169865,article_language,pol
169865,journal_title,""
169865,jounral_abbreviation,""
169865,journal_issn,""
169865,article_jvolumn,84
169865,article_jissue,0
169865,article_jcreated_at,1/13/01
169865,article_pagination,"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-"
169865,author_list,"\"{\"\"G. Jakiel\"\""
803653,article_title,Diagnosis and Management of Cutaneous B-cell Lymphoma.
803653,article_language,eng
803653,journal_title,Dermatologic clinics
803653,jounral_abbreviation,Dermatol Clin
803653,journal_issn,1558-0520
803653,article_jvolumn,33
803653,article_jissue,4
803653,article_jcreated_at,1/15/10
803653,article_pagination,835-40
803653,author_list,"\"{\"\"Lauren C Pinter-Brown\"\"}\""
98234,article_title,"Pregabalin, celecoxib, and their combination for treatment of chronic low-back pain"
98234,article_language,eng
98234,journal_title,""
98234,jounral_abbreviation,""
98234,journal_issn,""
98234,article_jvolumn,10
98234,article_jissue,4
98234,article_jcreated_at,1/9/01
98234,article_pagination,185-91
98234,author_list,"\"{\"\"C. L. Romano\"\""
823730,article_title,Activation and blockade of beta adrenoceptors in common cardiac disorders
823730,article_language,eng
823730,journal_title,Br Med Bull
823730,jounral_abbreviation,British medical bulletin
823730,journal_issn,0007-1420
823730,article_jvolumn,29
823730,article_jissue,2
823730,article_jcreated_at,1/1/73
823730,article_pagination,163-7
823730,author_list,"\"{\"\"B N Prichard\"\""
729712,article_title,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury
729712,article_language,English; ABSTRACT LANGUAGE:English
729712,journal_title,American journal of respiratory and critical care medicine
729712,jounral_abbreviation,""
729712,journal_issn,""
729712,article_jvolumn,164
729712,article_jissue,1
729712,article_jcreated_at,1/1/07
729712,article_pagination,43-49
729712,author_list,"\"{\"\"St_ber F\"\""
396821,article_title,Awareness of deficits and on-road driving performance
396821,article_language,English
396821,journal_title,Clinical Neuropsychologist
396821,jounral_abbreviation,""
396821,journal_issn,1385-4046
396821,article_jvolumn,25
396821,article_jissue,7
396821,article_jcreated_at,1/11/01
396821,article_pagination,1158-78
396821,author_list,"\"{\"\"L. J. Rapport\"\""
340222,article_title,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging
340222,article_language,""
340222,journal_title,The British journal of radiology
340222,jounral_abbreviation,""
340222,journal_issn,""
340222,article_jvolumn,79
340222,article_jissue,938
340222,article_jcreated_at,1/6/01
340222,article_pagination,158-61
340222,author_list,"\"{\"\"K. Fleming\"\""
184417,article_title,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects
184417,article_language,""
184417,journal_title,Transportation Research Part D-Transport and Environment
184417,jounral_abbreviation,""
184417,journal_issn,1361-9209
184417,article_jvolumn,14
184417,article_jissue,5
184417,article_jcreated_at,1/9/01
184417,article_pagination,317-325
184417,author_list,"\"{\"\"J. L. Li\"\""
729686,article_title,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis
729686,article_language,English
729686,journal_title,International journal of clinical and experimental medicine
